146.000000 210.000000 118.000000
-33.6 23.3 43.6 0.917
-32.2 22.4 54.8 1.000
-32.6 22.7 54.8 1.000
-33.8 23.5 61.4 1.000
-28.6 19.9 67.6 1.000
-30.8 21.4 71.7 1.000
-29.3 20.4 79.5 1.000
-26.7 18.6 89.8 1.000
-23.1 16.1 82.5 0.889
-31.1 21.6 84.7 0.983
-31.5 21.9 91.8 0.954
-26.7 18.6 97.0 0.975
-30.6 21.3 103.9 0.953
-23.2 16.1 104.5 0.913
-27.8 19.4 117.1 0.923
-22.9 15.9 120.8 0.979
-22.6 15.7 128.5 0.937
-19.3 13.4 133.6 0.960
-18.5 12.9 140.4 0.941
-15.2 10.5 143.5 0.988
-16.5 11.5 154.0 0.901
-10.4 7.2 156.4 0.990
-10.9 7.6 165.5 0.913
-10.0 6.9 170.3 0.942
-2.8 2.0 176.2 0.945
-0.3 0.2 173.5 0.838
3.1 -2.2 175.7 0.957
3.0 -2.1 170.5 0.939
5.6 -3.9 159.6 0.941
6.1 -4.3 156.8 0.980
12.5 -8.7 148.2 0.956
6.5 -4.5 142.9 0.974
16.3 -11.3 138.0 1.000
9.2 -6.4 130.7 0.967
12.6 -8.8 125.2 0.981
14.7 -10.3 115.8 0.895
18.5 -12.8 112.8 0.969
18.2 -12.6 104.1 0.903
17.0 -11.8 97.3 0.883
20.2 -14.0 88.9 0.824
28.4 -19.7 83.9 0.847
25.1 -17.4 78.8 0.870
29.9 -20.8 71.1 0.826
28.8 -20.0 68.6 0.914
23.0 -16.0 59.9 0.848
32.0 -22.2 54.4 0.861
31.5 -21.9 48.7 0.866
30.9 -21.5 38.5 1.000
29.0 -20.2 36.9 0.874
24.7 -17.2 30.3 0.859
27.8 -19.3 37.3 0.817
28.7 -19.9 36.4 0.989
24.3 -16.9 44.2 0.945
23.4 -16.3 52.3 0.893
30.5 -21.2 59.1 0.872
24.3 -16.9 64.8 0.879
24.7 -17.2 65.3 0.984
29.2 -20.3 76.3 0.893
31.8 -22.1 85.1 0.822
28.0 -19.5 90.1 0.848
21.3 -14.8 96.7 0.832
17.6 -12.2 100.7 0.882
15.3 -10.6 105.8 0.905
20.5 -14.3 111.0 0.924
13.1 -9.1 124.8 1.000
12.2 -8.5 126.2 0.846
12.7 -8.8 131.0 0.875
6.7 -4.7 139.1 0.822
9.0 -6.2 141.7 0.907
5.4 -3.8 149.1 0.873
8.5 -5.9 156.5 0.837
3.1 -2.2 161.4 0.866
1.5 -1.1 168.9 0.828
2.2 -1.6 177.1 1.000
-0.5 0.4 177.4 0.916
-6.9 4.8 172.0 0.801
-14.2 9.9 161.4 1.000
-11.2 7.8 164.5 0.912
-11.7 8.2 159.6 0.941
-17.6 12.2 151.5 0.887
-13.2 9.2 143.7 0.842
-18.9 13.1 139.4 0.885
-21.1 14.7 130.6 0.814
-20.5 14.2 125.8 0.846
-24.8 17.3 119.2 0.831
-23.6 16.4 112.1 0.803
-31.6 22.0 107.6 0.841
-32.1 22.3 98.5 0.827
-28.1 19.5 93.1 1.000
-32.0 22.3 86.5 1.000
-31.2 21.7 78.9 1.000
-32.2 22.4 75.0 1.000
-29.7 20.6 66.1 1.000
-31.6 22.0 57.8 1.000
-23.9 16.6 53.1 1.000
-31.9 22.2 49.6 1.000
-23.5 16.4 40.7 1.000
-28.2 19.6 38.9 1.000
-27.9 19.4 30.5 0.905
-22.0 15.3 27.4 1.000
-16.3 11.3 30.8 0.981
-24.2 16.8 31.5 0.889
-23.7 16.5 35.9 0.848
-24.1 16.7 36.3 1.000
-22.0 15.3 49.0 0.875
-23.9 16.6 54.1 0.853
-18.1 12.6 62.3 0.906
-24.4 17.0 63.6 1.000
-16.2 11.3 71.5 0.838
-22.4 15.6 75.8 1.000
-15.3 10.7 83.6 0.840
-21.1 14.7 95.6 0.989
-15.9 11.0 100.3 0.958
-12.3 8.6 106.9 0.971
-11.5 8.0 112.7 0.967
-9.5 6.6 119.1 0.977
-14.2 9.9 126.8 0.979
-9.7 6.8 131.0 0.976
-14.9 10.4 138.8 0.981
-10.7 7.4 141.0 0.926
-14.8 10.3 151.7 0.957
-8.1 5.6 157.5 0.961
-11.3 7.8 165.4 0.914
-10.6 7.4 167.9 0.997
-0.8 0.5 167.7 0.844
-3.5 2.4 180.9 0.976
3.1 -2.2 175.3 0.968
9.6 -6.6 172.9 0.877
7.7 -5.4 164.1 0.947
10.6 -7.4 161.0 0.874
10.7 -7.5 152.4 0.940
16.4 -11.4 149.0 0.874
13.7 -9.5 142.1 0.898
19.7 -13.7 139.2 0.819
20.2 -14.0 131.6 0.860
23.3 -16.2 124.7 0.883
24.7 -17.2 113.8 0.994
26.0 -18.0 112.4 0.889
27.5 -19.1 106.8 0.880
26.0 -18.1 97.6 0.960
27.2 -18.9 90.5 0.988
30.9 -21.5 87.0 0.926
30.9 -21.5 79.8 0.956
26.9 -18.7 74.6 0.934
27.6 -19.2 68.9 0.926
30.9 -21.5 59.6 0.991
27.9 -19.4 57.0 0.925
28.5 -19.8 45.5 0.938
24.9 -17.3 40.9 0.973
20.2 -14.1 39.6 0.911
15.1 -10.5 39.6 1.000
14.8 -10.3 37.2 0.970
14.6 -10.2 34.3 0.808
13.3 -9.3 35.6 1.000
14.8 -10.3 41.3 0.895
9.2 -6.4 47.3 1.000
15.8 -11.0 55.5 1.000
11.6 -8.1 66.7 0.866
5.8 -4.0 79.1 0.972
10.1 -7.0 79.0 0.875
8.6 -6.0 85.6 0.889
11.0 -7.7 91.1 0.876
4.0 -2.8 103.4 0.965
9.4 -6.5 106.3 0.957
3.3 -2.3 116.8 0.931
5.8 -4.1 120.3 0.991
6.2 -4.3 127.6 0.961
5.8 -4.1 134.3 0.944
-0.9 0.7 142.8 0.880
6.4 -4.5 144.4 0.991
1.9 -1.3 154.5 0.886
-0.8 0.6 165.3 0.944
-1.1 0.8 166.3 0.893
-1.5 1.0 173.0 0.876
2.9 -2.0 179.6 0.861
-4.3 3.0 182.3 0.942
-4.7 3.3 181.3 0.817
-4.3 3.0 175.1 0.822
-1.0 0.7 172.0 1.000
-7.4 5.1 159.5 0.912
-6.0 4.1 154.8 0.879
-6.2 4.3 152.9 1.000
-5.1 3.5 139.1 0.973
-9.3 6.5 137.8 0.855
-4.5 3.1 128.6 0.935
-6.0 4.2 120.8 0.980
-1.9 1.3 110.6 0.915
-4.8 3.3 106.0 0.951
-5.2 3.6 98.8 0.920
-8.2 5.7 90.4 0.860
-5.8 4.0 82.0 1.000
-3.6 2.5 78.3 0.858
-7.6 5.3 71.8 0.844
-4.0 2.8 63.4 1.000
-8.5 5.9 53.0 1.000
-4.0 2.8 51.0 1.000
-5.2 3.6 43.7 1.000
-13.9 9.7 37.7 1.000
-7.3 5.0 29.0 0.912
-10.2 7.1 23.6 0.926
