-40.000000 250.000000 87.000000
-31.8 -5.1 43.6 0.915
-37.2 -6.0 55.1 0.882
-37.4 -6.0 56.8 1.000
-35.3 -5.6 63.0 1.000
-33.7 -5.4 69.6 1.000
-31.7 -5.1 76.3 1.000
-34.1 -5.5 83.4 0.892
-28.5 -4.6 96.1 1.000
-30.4 -4.9 87.4 1.000
-31.6 -5.1 91.4 0.816
-31.6 -5.1 99.4 1.000
-31.8 -5.1 102.4 0.840
-31.4 -5.0 110.5 1.000
-27.8 -4.5 117.2 1.000
-30.8 -4.9 125.6 1.000
-24.5 -3.9 128.0 1.000
-26.9 -4.3 137.9 0.925
-18.4 -2.9 141.0 1.000
-22.4 -3.6 149.3 1.000
-15.6 -2.5 151.7 0.807
-17.7 -2.8 161.6 1.000
-11.4 -1.8 162.5 0.837
-10.4 -1.7 171.4 0.943
-11.8 -1.9 177.1 1.000
-2.5 -0.4 179.7 0.858
2.4 0.4 172.5 0.812
8.0 1.3 178.4 0.891
7.7 1.2 174.3 0.842
9.0 1.4 162.4 0.991
12.1 1.9 160.6 0.886
13.6 2.2 151.6 0.960
14.4 2.3 147.6 0.909
21.8 3.5 140.6 0.935
14.6 2.3 136.6 0.885
18.5 3.0 129.8 0.904
18.7 3.0 118.8 0.970
27.7 4.4 118.4 0.891
20.8 3.3 108.9 0.978
26.0 4.2 105.2 0.920
27.6 4.4 96.3 0.994
38.3 6.1 91.9 0.952
30.7 4.9 85.9 0.952
41.9 6.7 82.1 0.897
35.7 5.7 77.7 0.858
31.3 5.0 69.9 0.903
36.0 5.8 65.2 0.871
38.2 6.1 53.7 0.994
34.1 5.5 49.0 0.976
32.2 5.2 46.8 0.879
26.2 4.2 39.9 0.903
22.1 3.5 43.1 1.000
21.5 3.4 44.6 1.000
12.7 2.0 49.6 0.811
11.2 1.8 57.3 0.944
17.1 2.7 63.8 0.911
13.9 2.2 70.2 1.000
12.9 2.1 69.7 0.908
15.2 2.4 79.9 0.803
12.4 2.0 86.2 1.000
12.0 1.9 92.2 1.000
8.2 1.3 96.5 0.838
6.3 1.0 102.9 0.827
4.5 0.7 107.8 0.855
4.3 0.7 111.8 0.905
4.2 0.7 120.8 0.829
0.7 0.1 128.7 1.000
0.7 0.1 128.7 0.934
-3.1 -0.5 142.0 1.000
1.1 0.2 145.8 0.806
-4.8 -0.8 152.9 1.000
0.9 0.1 157.3 0.817
3.1 0.5 168.5 1.000
-2.4 -0.4 170.2 1.000
-3.0 -0.5 179.7 1.000
2.9 0.5 180.5 0.836
-5.3 -0.9 177.0 0.925
-11.4 -1.8 178.1 0.897
-11.1 -1.8 173.6 0.860
-7.3 -1.2 168.3 0.842
-14.7 -2.4 160.3 0.892
-12.3 -2.0 153.4 0.914
-10.5 -1.7 149.5 0.862
-16.8 -2.7 138.6 0.986
-15.1 -2.4 135.7 0.908
-20.2 -3.2 129.3 0.917
-16.7 -2.7 122.0 0.950
-23.5 -3.8 119.0 0.874
-17.4 -2.8 109.9 0.953
-16.5 -2.6 102.9 0.977
-23.4 -3.7 94.4 0.961
-21.4 -3.4 86.5 0.913
-16.2 -2.6 82.3 0.958
-19.5 -3.1 72.1 0.852
-13.7 -2.2 66.4 0.861
-11.1 -1.8 58.1 0.801
-16.3 -2.6 52.7 0.817
-6.9 -1.1 45.3 1.000
-17.0 -2.7 40.6 0.815
-10.1 -1.6 33.5 1.000
-6.3 -1.0 28.7 0.818
11.3 1.8 33.4 0.915
4.1 0.6 37.4 0.964
14.5 2.3 44.7 0.934
11.9 1.9 46.5 0.962
9.1 1.5 58.9 0.878
15.1 2.4 66.8 0.830
9.3 1.5 71.9 0.851
3.3 0.5 73.1 0.973
10.1 1.6 82.1 0.899
5.8 0.9 88.3 0.893
10.8 1.7 95.7 0.859
7.2 1.1 105.5 1.000
2.8 0.4 111.7 1.000
11.3 1.8 117.8 1.000
10.6 1.7 121.8 0.806
6.1 1.0 129.5 1.000
-1.3 -0.2 137.6 1.000
3.0 0.5 139.9 0.803
-3.0 -0.5 147.5 1.000
2.7 0.4 151.4 0.815
-3.7 -0.6 159.5 1.000
5.4 0.9 163.6 0.834
-2.2 -0.3 174.2 1.000
-4.7 -0.8 175.5 0.812
2.2 0.3 176.0 0.951
2.2 0.3 184.0 0.900
4.5 0.7 178.1 0.896
2.3 0.4 174.0 0.851
2.4 0.4 164.4 0.939
9.5 1.5 162.9 0.828
9.4 1.5 155.4 0.866
12.2 2.0 150.5 0.837
9.7 1.5 143.8 0.855
19.1 3.1 151.5 1.000
16.3 2.6 133.7 0.808
20.2 3.2 126.9 0.827
22.2 3.5 119.0 0.875
23.8 3.8 116.1 1.000
25.6 4.1 111.2 1.000
27.2 4.3 102.8 0.831
23.7 3.8 95.0 0.875
30.3 4.8 93.4 1.000
30.2 4.8 86.9 1.000
23.1 3.7 80.4 1.000
23.5 3.8 74.9 1.000
25.2 4.0 63.4 0.914
25.2 4.0 63.9 1.000
28.8 4.6 54.6 0.834
30.5 4.9 50.5 0.948
25.8 4.1 46.9 1.000
29.3 4.7 46.6 1.000
25.8 4.1 46.9 1.000
29.3 4.7 46.1 0.897
36.5 5.8 49.6 0.960
39.1 6.3 55.3 0.967
35.4 5.7 59.6 0.990
37.8 6.0 68.3 0.943
32.2 5.2 78.0 0.851
33.5 5.4 89.1 1.000
28.6 4.6 87.8 0.905
27.2 4.4 94.7 0.882
31.4 5.0 99.5 0.912
19.7 3.1 111.8 1.000
